Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Interest,Deposit,2026-03-01 07:13:45,2026-03-01 07:13:45,"Net Interest Paid to 'Instant Access Savings' for Mar 1, 2026",0.24,0.06,EUR,COMPLETED,4505.75
Interest,Deposit,2026-03-02 07:17:55,2026-03-02 07:17:55,"Net Interest Paid to 'Instant Access Savings' for Mar 2, 2026",0.25,0.06,EUR,COMPLETED,4505.94
Interest,Deposit,2026-03-03 07:09:33,2026-03-03 07:09:33,"Net Interest Paid to 'Instant Access Savings' for Mar 3, 2026",0.25,0.08,EUR,COMPLETED,4506.11
Interest,Deposit,2026-03-04 07:16:42,2026-03-04 07:16:42,"Net Interest Paid to 'Instant Access Savings' for Mar 4, 2026",0.25,0.06,EUR,COMPLETED,4506.30
Transfer,Deposit,2026-03-04 17:14:42,2026-03-04 17:14:42,To Instant Access Savings,1000.00,0.00,EUR,COMPLETED,5506.30
Transfer,Deposit,2026-03-04 17:15:15,2026-03-04 17:15:15,To Instant Access Savings,500.00,0.00,EUR,COMPLETED,6006.30
Interest,Deposit,2026-03-05 07:11:13,2026-03-05 07:11:13,"Net Interest Paid to 'Instant Access Savings' for Mar 5, 2026",0.32,0.08,EUR,COMPLETED,6006.54
Interest,Deposit,2026-03-06 07:10:06,2026-03-06 07:10:06,"Net Interest Paid to 'Instant Access Savings' for Mar 6, 2026",0.33,0.09,EUR,COMPLETED,6006.78
Interest,Deposit,2026-03-07 07:09:53,2026-03-07 07:09:53,"Net Interest Paid to 'Instant Access Savings' for Mar 7, 2026",0.33,0.08,EUR,COMPLETED,6007.03
Interest,Deposit,2026-03-08 07:14:40,2026-03-08 07:14:40,"Net Interest Paid to 'Instant Access Savings' for Mar 8, 2026",0.33,0.10,EUR,COMPLETED,6007.26
Interest,Deposit,2026-03-09 07:17:11,2026-03-09 07:17:11,"Net Interest Paid to 'Instant Access Savings' for Mar 9, 2026",0.33,0.08,EUR,COMPLETED,6007.51
Interest,Deposit,2026-03-10 07:06:04,2026-03-10 07:06:04,"Net Interest Paid to 'Instant Access Savings' for Mar 10, 2026",0.33,0.09,EUR,COMPLETED,6007.75
Interest,Deposit,2026-03-11 07:04:44,2026-03-11 07:04:44,"Net Interest Paid to 'Instant Access Savings' for Mar 11, 2026",0.33,0.08,EUR,COMPLETED,6008.00
Interest,Deposit,2026-03-12 07:12:51,2026-03-12 07:12:51,"Net Interest Paid to 'Instant Access Savings' for Mar 12, 2026",0.33,0.10,EUR,COMPLETED,6008.23
Interest,Deposit,2026-03-13 07:10:13,2026-03-13 07:10:13,"Net Interest Paid to 'Instant Access Savings' for Mar 13, 2026",0.33,0.08,EUR,COMPLETED,6008.48
Interest,Deposit,2026-03-14 07:13:19,2026-03-14 07:13:19,"Net Interest Paid to 'Instant Access Savings' for Mar 14, 2026",0.33,0.09,EUR,COMPLETED,6008.72
Interest,Deposit,2026-03-15 07:11:02,2026-03-15 07:11:02,"Net Interest Paid to 'Instant Access Savings' for Mar 15, 2026",0.33,0.08,EUR,COMPLETED,6008.97
Interest,Deposit,2026-03-16 07:33:37,2026-03-16 07:33:37,"Net Interest Paid to 'Instant Access Savings' for Mar 16, 2026",0.33,0.09,EUR,COMPLETED,6009.21
Interest,Deposit,2026-03-17 07:22:21,2026-03-17 07:22:21,"Net Interest Paid to 'Instant Access Savings' for Mar 17, 2026",0.32,0.09,EUR,COMPLETED,6009.44
Interest,Deposit,2026-03-18 07:13:54,2026-03-18 07:13:54,"Net Interest Paid to 'Instant Access Savings' for Mar 18, 2026",0.33,0.08,EUR,COMPLETED,6009.69
Interest,Deposit,2026-03-19 07:09:33,2026-03-19 07:09:33,"Net Interest Paid to 'Instant Access Savings' for Mar 19, 2026",0.33,0.09,EUR,COMPLETED,6009.93
Interest,Deposit,2026-03-20 07:22:15,2026-03-20 07:22:15,"Net Interest Paid to 'Instant Access Savings' for Mar 20, 2026",0.33,0.08,EUR,COMPLETED,6010.18
Interest,Deposit,2026-03-21 07:10:18,2026-03-21 07:10:18,"Net Interest Paid to 'Instant Access Savings' for Mar 21, 2026",0.33,0.10,EUR,COMPLETED,6010.41
Interest,Deposit,2026-03-22 07:10:28,2026-03-22 07:10:28,"Net Interest Paid to 'Instant Access Savings' for Mar 22, 2026",0.33,0.08,EUR,COMPLETED,6010.66
Interest,Deposit,2026-03-23 07:10:16,2026-03-23 07:10:16,"Net Interest Paid to 'Instant Access Savings' for Mar 23, 2026",0.33,0.09,EUR,COMPLETED,6010.90
Interest,Deposit,2026-03-24 07:14:52,2026-03-24 07:14:52,"Net Interest Paid to 'Instant Access Savings' for Mar 24, 2026",0.33,0.08,EUR,COMPLETED,6011.15
